learning_rate,batch_size,num_epochs,embedding_dim,embedding_type,max_seq_len,hidden_dim,num_hidden,accuracy,precision,recall,f1
0.001,16,5,50,random,50,128,1,0.21402784940691078,0.0,0.0,0.0
0.001,16,10,50,random,50,128,1,0.3991748323878288,0.0,0.0,0.0
0.001,16,20,50,random,50,128,1,0.23671995874161939,0.006666666666666667,0.005263157894736842,0.005882352941176471
0.001,32,5,50,random,50,128,1,0.3579164517792677,0.14102564102564102,0.05789473684210526,0.08208955223880597
0.001,32,10,50,random,50,128,1,0.27643115007735947,0.0,0.0,0.0
0.001,32,20,50,random,50,128,1,0.2810727178958226,0.029850746268656716,0.010526315789473684,0.015564202334630349
0.001,64,5,50,random,50,128,1,0.20990201134605466,0.04,0.005263157894736842,0.009302325581395349
0.001,64,10,50,random,50,128,1,0.27591542031975247,0.024390243902439025,0.005263157894736842,0.008658008658008658
0.001,64,20,50,random,50,128,1,0.19391438886023724,0.006097560975609756,0.010526315789473684,0.007722007722007722
0.005,16,5,50,random,50,128,1,0.20732336255801959,0.13953488372093023,0.031578947368421054,0.05150214592274678
0.005,16,10,50,random,50,128,1,0.2114492006188757,0.0,0.0,0.0
0.005,16,20,50,random,50,128,1,0.2186694172253739,0.0,0.0,0.0
0.005,32,5,50,random,50,128,1,0.19804022692109335,0.022727272727272728,0.005263157894736842,0.008547008547008548
0.005,32,10,50,random,50,128,1,0.2181536874677669,0.03571428571428571,0.005263157894736842,0.009174311926605503
0.005,32,20,50,random,50,128,1,0.2186694172253739,0.029411764705882353,0.005263157894736842,0.008928571428571426
0.005,64,5,50,random,50,128,1,0.23104693140794225,0.021739130434782608,0.005263157894736842,0.00847457627118644
0.005,64,10,50,random,50,128,1,0.185146982980918,0.012269938650306749,0.010526315789473684,0.0113314447592068
0.005,64,20,50,random,50,128,1,0.2331098504383703,0.0,0.0,0.0
